text,created,screenName
"“She believed she could, so she did.” #internationalwomensday https://t.co/PfGVXzWP77",08-03-21 12:29,MuirheadMedia
"Knocking it out of the park again is
@maryannehobbs on @BBC6Music . Listening to @NaokoSakata is exactly what I nee… https://t.co/XIwA7Lr23M",08-03-21 12:29,stacemelina
Happy International Women’s Day! Today we are sharing player stories from the squad around this year’s theme… https://t.co/mnjHJec36K,08-03-21 12:29,AbbeyRFCLadies
"Happy #InternationalWomensDay You’re all powerful,  beautiful and capable of anything! https://t.co/iFZAMzI03U",08-03-21 12:29,RebelliousBoy
"Listen to an experimental podcast recorded by artist Shenece Oretha for #HyperFunctionalUltraHealthy, exploring sou… https://t.co/Ag471C7EzZ",08-03-21 12:29,SomersetHouse
#InternationalWomensDay brough to you by @zanupf_patriots https://t.co/FY4xTWGKqo,08-03-21 12:29,vkmoyo
"Women and girls in crisis zones,face discrimination, violence, lack equal opportunities,health challenges including… https://t.co/fk3vxafhR6",08-03-21 12:29,abdiah_a
Happy #InternationalWomensDay to all the women in the world ! There is no force greater than a group of unified wom… https://t.co/MlGKftJkjs,08-03-21 12:29,CoachC_Watkins
"In Nairobi, Female Coders Are Flipping the Silicon Valley Trope on Its Head
#WanawakeBomba #InternationalWomensDay
 https://t.co/hmSyZ5SlVo",08-03-21 12:29,high__witness
We’re celebrating International Women’s Day with some of our very own #WomenInArb - Stella Bollam (@cosmoscopy)… https://t.co/DiBtwPMTif,08-03-21 12:29,ArbAssociation
"@PGtips My lovely daughter who’s just had a baby 
#InternationalWomensDay 
@Mj_Bryan <U+0001F497>",08-03-21 12:29,los_vos1
tried to do a headstand and fell smashed into my desk and knocked everything on the floor lol #InternationalWomensDay #thisgirlcan,08-03-21 12:29,m_carpo1
"Happy #internationalwomensday . As women we fight together as one, not separate for our stories and voices to be he… https://t.co/kQbcLxbpco",08-03-21 12:29,TatyanaMcFadden
"Every. Single. Day.
#InternationalWomensDay #wertschaetzung #sichtbarkeit #supporteachother <U+0001F918><U+0001F337><U+0001F499><U+0001F49A><U+0001F49B><U+0001F49C> https://t.co/DVprWg7kvj",08-03-21 12:29,contaowebdesign
"Respect all women..<U+0001F64F>..All women are princes of their own home_land don't ruin their dreams,feelings and cares they… https://t.co/2SygFDUU29",08-03-21 12:29,RanaAliAshar3
"This #InternationalWomensDay thinking of women in Kashmir, Xinjiang,    Refugee camps across Bangladesh, Jordan, Tu… https://t.co/Iv59vxmVLI",08-03-21 12:29,Maria_nqk
"@Amaliniii ""They reap the profits of the pandemic. #Women must resort to tests. 
Let's not tolerate this anymore! L… https://t.co/V0hX7LB1Qa",08-03-21 12:29,EmDeeS11
"I don't really have anything to add to all the beautifu tweets I've seen about #InternationalWomensDay today, excep… https://t.co/CEi3xboqky",08-03-21 12:29,WhatEmsReadingX
"Happy #InternationalWomensDay

https://t.co/0zA9GaO3yF",08-03-21 12:29,elisha_am
"Women to the front!
Happy International Women's Day, you are all electric!<U+26A1><U+FE0F>#InternationalWomensDay https://t.co/bLiwc2zn5B",08-03-21 12:29,nevertoolavish
